curve_id,age,volume,ps124,ps126,ps128,ps1210,p34,p36,p38,p310,p44,p46,p48,p410,pbark,pchips,psawdust,pshaving,ptrim
2422003,340.0,544,25623,25255,16840,15114,18329,12338,8607,7571,4253,2445,1527,1314,14.52,44.2,11.38,6.53,4.48
2422003,350.0,544,25623,25255,16840,15114,18329,12338,8607,7571,4253,2445,1527,1314,14.52,44.2,11.38,6.53,4.48
2422004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422004,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422004,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422004,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422004,40.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422004,50.0,8,6,0,0,0,6,0,0,0,2,0,0,0,0.0,0.01,0.0,0.0,0.0
2422004,60.0,20,353,0,0,0,353,0,0,0,109,0,0,0,0.11,0.51,0.07,0.03,0.04
2422004,70.0,37,2094,9,0,0,2095,9,0,0,639,2,0,0,0.56,2.55,0.39,0.2,0.19
2422004,80.0,58,4952,199,7,0,4946,193,7,0,1440,39,1,0,1.26,5.45,0.92,0.48,0.4
2422004,90.0,82,8056,1017,71,3,8000,957,67,2,2158,189,13,0,2.11,8.76,1.56,0.84,0.65
2422004,100.0,108,10859,2354,348,31,10661,2061,301,20,2627,371,52,3,3.02,12.13,2.24,1.22,0.91
2422004,110.0,134,13448,3877,966,144,12964,3140,753,107,3152,553,117,14,3.95,15.36,2.97,1.62,1.19
2422004,120.0,161,15175,5872,1999,437,14355,4300,1464,315,3422,756,217,41,4.87,18.35,3.7,2.03,1.47
2422004,130.0,187,16653,7756,3107,925,15388,5284,2200,643,3616,928,323,86,5.75,21.06,4.39,2.42,1.73
2422004,140.0,212,18006,9403,4182,1632,16184,6078,2887,1090,3785,1068,423,151,6.57,23.49,5.04,2.79,1.98
2422004,150.0,235,18826,11126,5248,2649,16429,6991,3544,1659,3863,1231,520,240,7.33,25.52,5.67,3.14,2.22
2422004,160.0,257,19356,12747,6265,3717,16531,7816,4115,2279,3887,1380,610,336,8.01,27.3,6.24,3.46,2.43
2422004,170.0,277,19648,14255,7230,4807,16537,8544,4603,2935,3866,1514,693,434,8.62,28.85,6.74,3.75,2.63
2422004,180.0,296,19794,15320,8316,6038,16440,8970,5140,3634,3824,1600,788,544,9.17,30.17,7.18,4.01,2.81
2422004,190.0,313,19884,16169,9372,7236,16314,9270,5660,4301,3778,1665,882,650,9.65,31.32,7.57,4.23,2.96
2422004,200.0,329,19859,17077,10213,8383,16089,9603,6049,4930,3721,1745,958,751,10.08,32.29,7.93,4.44,3.1
2422004,210.0,344,19755,18003,10884,9465,15802,9953,6339,5517,3657,1833,1019,847,10.46,33.1,8.25,4.63,3.23
2422004,220.0,357,19641,18850,11476,10447,15524,10272,6591,6049,3596,1913,1072,934,10.8,33.82,8.54,4.79,3.34
2422004,230.0,369,19653,19337,12203,11341,15365,10410,6883,6476,3577,1951,1138,1013,11.11,34.44,8.8,4.95,3.45
2422004,240.0,381,19670,19745,12881,12149,15226,10518,7153,6855,3562,1981,1199,1084,11.39,34.99,9.04,5.08,3.54
2422004,250.0,391,19678,20088,13491,12870,15096,10601,7394,7191,3548,2006,1253,1148,11.63,35.46,9.25,5.2,3.62
2422004,260.0,400,19657,20348,14033,13593,14954,10639,7604,7535,3532,2027,1305,1211,11.85,35.85,9.44,5.31,3.7
2422004,270.0,409,19597,20512,14507,14340,14795,10618,7781,7901,3512,2045,1355,1276,12.03,36.16,9.6,5.41,3.76
2422004,280.0,417,19524,20670,14914,15030,14635,10610,7935,8235,3491,2062,1397,1335,12.19,36.43,9.74,5.49,3.82
2422004,290.0,423,19326,20880,15097,15714,14385,10671,8026,8539,3456,2089,1417,1397,12.31,36.61,9.83,5.55,3.86
2422004,300.0,423,19326,20880,15097,15714,14385,10671,8026,8539,3456,2089,1417,1397,12.31,36.61,9.83,5.55,3.86
2422004,310.0,423,19326,20880,15097,15714,14385,10671,8026,8539,3456,2089,1417,1397,12.31,36.61,9.83,5.55,3.86
2422004,320.0,423,19326,20880,15097,15714,14385,10671,8026,8539,3456,2089,1417,1397,12.31,36.61,9.83,5.55,3.86
2422004,330.0,423,19326,20880,15097,15714,14385,10671,8026,8539,3456,2089,1417,1397,12.31,36.61,9.83,5.55,3.86
2422004,340.0,423,19326,20880,15097,15714,14385,10671,8026,8539,3456,2089,1417,1397,12.31,36.61,9.83,5.55,3.86
